brand_model_year,family car,fuel-efficient car,comfortable car,luxury car,sporty car,quiet car,commuter car,stylish car,affordable car,compact car,spacious car,sexy car
HONDA PILOT 2016,0.30434782608695654,0.8478260869565217,1.0,0.13043478260869565,0.17391304347826086,0.3695652173913043,0.021739130434782608,0.13043478260869565,0.34782608695652173,0.06521739130434782,0.6086956521739131,0.0
HONDA PILOT 2017,0.25,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
HONDA RIDGELINE 2017,0.0,0.42857142857142855,1.0,0.09523809523809523,0.23809523809523808,0.8571428571428571,0.23809523809523808,0.5714285714285714,0.19047619047619047,0.09523809523809523,0.3333333333333333,0.0
HYUNDAI ACCENT 2016,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.75,1.0,0.5,0.0
HYUNDAI AZERA 2016,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.3333333333333333,1.0,0.0,0.3333333333333333,0.0
HYUNDAI ELANTRA-GT 2016,0.25,0.0,0.0,0.0,1.0,0.0,0.0,0.25,0.25,1.0,0.25,0.0
HYUNDAI ELANTRA 2016,0.14285714285714285,0.5714285714285714,1.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285,0.8571428571428571,1.0
HYUNDAI ELANTRA 2017,0.08333333333333333,1.0,0.8333333333333334,0.16666666666666666,0.4166666666666667,0.4166666666666667,0.25,0.0,0.75,0.9166666666666666,0.08333333333333333,0.0
HYUNDAI EQUUS 2016,0.0,1.0,0.75,0.0,0.0,0.25,0.0,0.25,1.0,0.0,0.0,0.0
HYUNDAI GENESIS 2016,0.0,0.3076923076923077,1.0,0.3076923076923077,0.23076923076923078,0.5384615384615384,0.0,0.6923076923076923,0.07692307692307693,0.0,0.0,0.0
HYUNDAI SANTA-FE-SPORT 2016,0.0,1.0,0.0,0.25,0.0,1.0,0.0,0.25,0.25,0.0,1.0,0.0
HYUNDAI SANTA-FE-SPORT 2017,0.047619047619047616,0.5714285714285714,1.0,0.14285714285714285,0.2857142857142857,0.09523809523809523,0.0,0.047619047619047616,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.0
HYUNDAI SANTA-FE 2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
HYUNDAI SANTA-FE 2017,0.0,0.0,1.0,0.0,1.0,0.5,0.0,0.5,1.0,0.0,0.0,0.0
HYUNDAI SONATA-HYBRID 2016,0.0,0.8333333333333334,0.8888888888888888,0.05555555555555555,0.0,1.0,0.4444444444444444,0.2222222222222222,0.2777777777777778,0.05555555555555555,0.16666666666666666,0.0
HYUNDAI SONATA-PLUG-IN-HYBRID 2016,0.0,0.0,0.2,1.0,0.0,0.6,0.0,0.0,0.6,0.0,0.0,0.0
HYUNDAI SONATA-PLUG-IN-HYBRID 2017,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HYUNDAI SONATA 2016,0.0,0.23076923076923078,1.0,0.15384615384615385,0.0,0.6923076923076923,0.07692307692307693,0.0,0.46153846153846156,0.07692307692307693,0.23076923076923078,0.0
